"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","110","152","1,338","12.2","52","29","12","2","5","0","1","17","206.3","12.1","100.0%"
"2","George Kittle (SF)","60","86","765","12.8","54","20","11","0","0","0","1","15","140.5","9.4","99.1%"
"3","Taysom Hill (NO)","9","13","77","8.6","30","2","2","96","575","7","0","16","136.8","8.6","22.5%"
"4","T.J. Hockenson (MIN)","86","129","914","10.6","81","12","6","0","0","0","1","17","129.4","7.6","99.3%"
"5","Mark Andrews (BAL)","73","113","847","11.6","36","8","5","3","8","0","0","15","117.5","7.8","99.9%"
"6","Evan Engram (JAC)","73","98","766","10.5","36","11","4","2","13","0","0","17","103.9","6.1","94.3%"
"7","Cole Kmet (CHI)","50","69","544","10.9","50","9","7","2","9","0","0","17","97.3","5.7","85.3%"
"8","Juwan Johnson (NO)","42","65","508","12.1","41","10","7","0","0","0","0","16","92.8","5.8","33.6%"
"9","Dawson Knox (BUF)","48","65","517","10.8","45","10","6","0","0","0","0","15","87.7","5.8","36.0%"
"10","Dallas Goedert (PHI)","55","69","702","12.8","31","12","3","0","0","0","1","12","86.2","7.2","97.0%"
"11","Dalton Schultz (HOU)","57","89","577","10.1","30","6","5","0","0","0","1","15","85.7","5.7","86.8%"
"12","Pat Freiermuth (PIT)","63","98","732","11.6","57","13","2","0","0","0","0","15","85.2","5.7","92.5%"
"13","David Njoku (CLE)","58","80","628","10.8","38","10","4","2","-8","0","1","14","84.0","6.0","92.1%"
"14","Gerald Everett (LAC)","58","87","555","9.6","26","4","4","1","0","0","0","15","81.5","5.4","53.6%"
"15","Tyler Higbee (LAR)","72","108","620","8.6","26","4","3","0","0","0","0","16","80.0","5.0","74.2%"
"16","Jordan Akins (CLE)","37","54","495","13.4","46","13","5","0","0","0","1","15","79.5","5.3","0.6%"
"17","Tyler Conklin (NYJ)","58","87","552","9.5","30","7","3","2","3","0","0","17","73.5","4.3","8.7%"
"18","Noah Fant (SEA)","50","63","486","9.7","51","8","4","0","0","0","0","17","72.6","4.3","6.5%"
"19","Zach Ertz (ARI)","47","69","406","8.6","32","3","4","0","0","0","0","10","68.6","6.9","35.8%"
"20","Mike Gesicki (NE)","32","52","362","11.3","32","7","5","0","0","0","0","17","66.2","3.9","32.3%"
"21","Chigoziem Okonkwo (TEN)","32","46","450","14.1","48","14","3","3","2","0","0","16","65.2","4.1","52.5%"
"22","Hunter Henry (NE)","41","59","509","12.4","39","15","2","0","0","0","0","16","62.9","3.9","5.3%"
"23","Robert Tonyan (CHI)","53","67","470","8.9","24","5","2","0","0","0","0","17","59.0","3.5","1.3%"
"24","Darren Waller (NYG)","28","43","388","13.9","34","11","3","0","0","0","0","9","56.8","6.3","97.9%"
"25","Austin Hooper (LV)","41","60","444","10.8","24","2","2","0","0","0","0","17","56.4","3.3","1.6%"
"26","Hayden Hurst (CAR)","54","70","439","8.1","29","5","2","0","0","0","0","14","55.9","4.0","10.1%"
"27","Isaiah Likely (BAL)","36","60","373","10.4","34","5","3","0","0","0","0","14","55.3","4.0","5.1%"
"28","Greg Dulcich (DEN)","33","55","411","12.5","39","9","2","0","0","0","0","10","53.1","5.3","56.7%"
"29","Will Dissly (SEA)","34","38","349","10.3","38","2","3","0","0","0","0","15","52.9","3.5","0.7%"
"30","Foster Moreau (NO)","33","54","420","12.7","33","10","2","0","2","0","1","14","52.2","3.7","0.7%"
"31","Cade Otton (TB)","42","65","391","9.3","35","5","2","0","0","0","0","16","51.1","3.2","2.1%"
"32","Jelani Woods (IND)","25","40","312","12.5","36","6","3","0","0","0","0","12","49.2","4.1","4.2%"
"33","Kyle Pitts (ATL)","28","59","356","12.7","33","6","2","0","0","0","0","10","47.6","4.8","95.9%"
"34","Brock Wright (DET)","18","24","216","12.0","51","6","4","0","0","0","0","14","45.6","3.3","0.3%"
"35","Daniel Bellinger (NYG)","30","35","268","8.9","24","2","2","1","2","1","1","11","45.0","4.1","1.3%"
"36","Colby Parkinson (SEA)","25","34","322","12.9","39","8","2","0","0","0","0","14","44.2","3.2","0.1%"
"37","Noah Gray (KC)","28","34","299","10.7","27","3","1","1","1","1","0","17","42.0","2.5","0.8%"
"38","MyCole Pruitt (FA)","16","21","150","9.4","29","2","4","0","0","0","0","10","39.0","3.9","0.0%"
"39","Logan Thomas (WAS)","39","61","323","8.3","27","2","1","0","0","0","0","13","38.3","2.9","2.9%"
"40","C.J. Uzomah (NYJ)","21","27","232","11.0","40","8","2","0","0","0","0","14","35.2","2.5","0.7%"
"41","Mo Alie-Cox (IND)","19","28","189","9.9","34","2","3","0","0","0","1","14","34.9","2.5","0.2%"
"42","Tommy Tremble (CAR)","19","32","174","9.2","29","1","3","0","0","0","1","15","33.4","2.2","0.2%"
"43","Trey McBride (ARI)","29","39","265","9.1","29","3","1","0","0","0","0","12","32.5","2.7","8.7%"
"44","Harrison Bryant (CLE)","31","42","239","7.7","30","2","1","1","8","0","0","14","30.7","2.2","0.2%"
"45","Kylen Granson (IND)","31","40","302","9.7","32","4","0","1","0","0","0","13","30.2","2.3","0.1%"
"46","Irv Smith Jr. (CIN)","25","36","182","7.3","17","0","2","0","0","0","0","8","30.2","3.8","19.7%"
"47","Shane Zylstra (DET)","11","15","60","5.5","14","0","4","0","0","0","0","9","30.0","3.3","0.1%"
"48","Jake Ferguson (DAL)","19","22","174","9.2","30","4","2","0","0","0","0","11","29.4","2.7","4.7%"
"49","Peyton Hendershot (DAL)","11","16","103","9.4","29","2","2","1","2","1","0","12","28.5","2.4","0.2%"
"50","Josh Oliver (MIN)","14","25","149","10.6","40","3","2","0","0","0","0","12","26.9","2.2","0.1%"
"51","Adam Trautman (DEN)","18","22","207","11.5","22","2","1","0","0","0","0","13","26.7","2.1","0.2%"
"52","O.J. Howard (LV)","10","23","145","14.5","26","4","2","0","0","0","0","11","26.5","2.4","0.2%"
"53","Jonnu Smith (ATL)","27","38","245","9.1","53","6","0","1","5","0","0","12","25.0","2.1","0.7%"
"54","Durham Smythe (MIA)","15","20","129","8.6","26","1","1","2","1","1","0","13","25.0","1.9","0.3%"
"55","Connor Heyward (PIT)","12","17","151","12.6","45","4","1","2","27","0","0","15","23.8","1.6","0.2%"
"56","Teagan Quitoriano (HOU)","7","14","113","16.1","52","5","2","0","0","0","0","7","23.3","3.3","0.1%"
"57","Eric Saubert (MIA)","15","24","148","9.9","25","3","1","0","0","0","0","14","20.8","1.5","0.2%"
"58","Jody Fortson (KC)","9","13","108","12.0","40","4","2","0","0","0","1","10","20.8","2.1","0.2%"
"59","Marcedes Lewis (FA)","6","7","66","11.0","31","2","2","0","0","0","0","6","20.6","3.4","0.0%"
"60","Johnny Mundt (MIN)","19","21","140","7.4","17","0","1","0","0","0","0","13","20.0","1.5","0.1%"
"61","Mitchell Wilcox (FA)","17","18","139","8.2","19","0","1","0","0","0","0","9","19.9","2.2","0.0%"
"62","Eric Tomlinson (FA)","9","13","79","8.8","18","0","2","0","0","0","0","9","19.9","2.2","0.0%"
"63","Ian Thomas (CAR)","21","30","197","9.4","50","4","0","0","0","0","0","14","19.7","1.4","0.1%"
"64","Donald Parham Jr. (LAC)","10","12","130","13.0","24","2","1","0","0","0","0","6","19.0","3.2","0.2%"
"65","Cameron Brate (FA)","20","38","174","8.7","21","1","0","0","0","0","0","9","17.4","1.9","2.0%"
"66","James Mitchell (DET)","11","11","113","10.3","22","2","1","0","0","0","0","8","17.3","2.2","0.1%"
"67","John Bates (WAS)","14","22","108","7.7","20","1","1","0","0","0","0","10","16.8","1.7","0.1%"
"68","Ross Dwelley (SF)","3","5","105","35.0","56","6","1","0","0","0","0","5","16.5","3.3","0.1%"
"69","Albert Okwuegbunam (DEN)","10","18","95","9.5","25","1","1","0","0","0","0","6","15.5","2.6","0.6%"
"70","Ko Kieft (TB)","7","10","80","11.4","19","0","1","0","0","0","0","14","14.0","1.0","0.1%"
"71","Dan Arnold (PHI)","9","13","135","15.0","26","3","0","0","0","0","0","11","13.5","1.2","0.1%"
"72","Tanner Hudson (CIN)","10","15","132","13.2","27","1","0","0","0","0","0","6","13.2","2.2","0.0%"
"73","Zach Gentry (PIT)","19","23","132","6.9","32","3","0","0","0","0","0","14","13.2","0.9","0.1%"
"74","Brevin Jordan (HOU)","14","28","128","9.1","20","2","0","0","0","0","0","9","12.8","1.4","0.1%"
"75","Chris Myarick (NYG)","7","8","65","9.3","23","1","1","0","0","0","0","10","12.5","1.3","0.0%"
"76","Quintin Morris (BUF)","8","11","84","10.5","26","1","1","0","0","0","1","9","12.4","1.4","0.1%"
"77","Jack Stoll (PHI)","11","14","123","11.2","26","2","0","0","0","0","0","10","12.3","1.2","0.1%"
"78","Geoff Swaim (FA)","12","16","58","4.8","13","0","1","0","0","0","0","12","11.8","1.0","0.0%"
"79","Pharaoh Brown (IND)","12","20","117","9.8","30","2","0","0","0","0","0","9","11.7","1.3","0.0%"
"80","Josiah Deguara (GB)","13","15","114","8.8","25","1","0","0","0","0","0","9","11.4","1.3","0.1%"
"81","Brycen Hopkins (LAR)","7","11","109","15.6","22","2","0","0","0","0","0","7","10.9","1.6","0.1%"
"82","Giovanni Ricci (CAR)","8","9","100","12.5","32","2","0","0","0","0","0","11","10.0","0.9","0.0%"
"83","Anthony Firkser (NE)","9","13","100","11.1","22","1","0","0","0","0","0","8","10.0","1.3","0.0%"
"84","Armani Rogers (WAS)","5","6","64","12.8","23","1","0","2","26","0","0","9","9.0","1.0","0.1%"
"85","Parker Hesse (ATL)","9","11","89","9.9","22","1","0","0","0","0","0","12","8.9","0.7","0.0%"
"86","Kyle Rudolph (FA)","3","5","28","9.3","12","0","1","0","0","0","0","5","8.8","1.8","0.0%"
"87","Grant Calcaterra (PHI)","5","9","81","16.2","40","3","0","0","0","0","0","6","8.1","1.4","0.1%"
"88","Blake Bell (KC)","2","2","20","10.0","17","0","1","0","0","0","0","2","8.0","4.0","0.1%"
"89","Tre' McKitty (LAC)","10","18","72","7.2","12","0","0","0","0","0","0","13","7.2","0.6","0.1%"
"90","Andrew Beck (HOU)","5","11","69","13.8","27","2","0","2","0","0","0","9","6.9","0.8","0.0%"
"91","Tyler Mabry (SEA)","1","1","7","7.0","7","0","1","0","0","0","0","1","6.7","6.7","0.0%"
"92","Tyler Kroft (MIA)","4","5","57","14.3","28","1","0","0","0","0","0","6","5.7","1.0","0.1%"
"93","Nick Vannett (FA)","6","9","55","9.2","15","0","0","0","0","0","0","7","5.5","0.8","0.0%"
"94","Charlie Kolar (BAL)","4","6","49","12.3","15","0","0","0","0","0","0","1","4.9","4.9","0.1%"
"95","Trevon Wesco (TEN)","2","4","26","13.0","23","1","0","0","0","0","0","6","4.6","0.8","0.0%"
"96","Stephen Sullivan (CAR)","2","6","46","23.0","33","2","0","0","0","0","0","8","4.6","0.6","0.0%"
"97","Chris Manhertz (DEN)","6","8","42","7.0","21","1","0","0","0","0","0","8","4.2","0.5","0.0%"
"98","Luke Farrell (JAC)","4","4","40","10.0","15","0","0","0","0","0","0","4","4.0","1.0","0.0%"
"99","Kendall Blanton (KC)","2","2","35","17.5","28","1","0","0","0","0","0","2","3.5","1.8","0.0%"
"100","Ryan Griffin (FA)","4","8","26","6.5","18","0","0","0","0","0","0","10","2.6","0.3","0.0%"
"101","Ben Ellefson (FA)","3","3","26","8.7","12","0","0","0","0","0","0","2","2.6","1.3","0.0%"
"102","Tyler Davis (GB)","4","7","26","6.5","23","1","0","0","0","0","0","11","2.6","0.2","0.0%"
"103","Cole Turner (WAS)","2","9","23","11.5","18","0","0","0","0","0","0","7","2.3","0.3","0.1%"
"104","Jesper Horsted (LV)","3","4","19","6.3","9","0","0","0","0","0","0","5","1.9","0.4","0.0%"
"105","Maxx Williams (FA)","3","3","18","6.0","7","0","0","0","0","0","0","3","1.8","0.6","0.0%"
"106","Stone Smartt (LAC)","4","5","17","4.3","8","0","0","0","0","0","0","3","1.7","0.6","0.0%"
"107","Sean McKeon (DAL)","2","3","11","5.5","10","0","0","0","0","0","0","3","1.1","0.4","0.0%"
"108","Stephen Anderson (FA)","3","7","9","3.0","6","0","0","0","0","0","0","9","0.9","0.1","0.0%"
"109","Jeremy Ruckert (NYJ)","1","2","8","8.0","8","0","0","0","0","0","0","2","0.8","0.4","0.1%"
"110","Tommy Sweeney (NYG)","1","1","7","7.0","7","0","0","0","0","0","0","2","0.7","0.4","0.0%"
"111","Mason Schreck (HOU)","2","2","6","3.0","6","0","0","0","0","0","0","2","0.6","0.3","0.0%"
"112","Jacob Harris (JAC)","1","1","6","6.0","6","0","0","0","0","0","0","3","0.6","0.2","0.0%"
"113","Devin Asiasi (CIN)","2","4","5","2.5","6","0","0","0","0","0","0","5","0.5","0.1","0.1%"
"114","Richard Rodgers (FA)","1","4","4","4.0","4","0","0","0","0","0","0","3","0.4","0.1","0.0%"
"115","Hakeem Butler (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Brandon Dillon (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","J.J. Arcega-Whiteside (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Kaden Smith (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"120","Charlie Woerner (SF)","0","2","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"121","Noah Togiai (ARI)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"122","Dalton Keene (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Lawrence Cager (NYG)","13","19","118","9.1","20","1","1","0","0","0","0","6","0.0","0.0","0.0%"
"124","Jared Pinkney (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"125","Matthew Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"126","Chase Allen (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Matt Sokol (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Reggie Gilliam (BUF)","9","11","76","8.4","14","0","1","0","0","0","0","8","0.0","0.0","0.1%"
"129","Rashod Berry (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Alize Mack (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Tyree Jackson (PHI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"132","Scotty Washington (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Tommy Hudson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"134","Nick Bowers (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Jake Bargas (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Stephen Carlson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","Feleipe Franks (ATL)","0","2","0","0","0","0","0","1","0","0","0","5","0.0","0.0","0.0%"
"138","Curtis Hodges (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Chris Pierce Jr. (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"140","Leroy Watson (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Jake Tonges (CHI)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"142","Rodney Williams (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","Justin Rigg (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","Zaire Mitchell-Paden (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Cole Fotheringham (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","Tucker Fisk (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","Cameron Latu (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"148","Derrick Deese Jr. (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Nikola Kalinic (LAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"150","John FitzPatrick (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Tanner Conner (MIA)","0","3","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"152","Gerrit Prince (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"153","Nick Muse (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Lucas Krull (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Seth Green (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Noah Gindorff (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Andrew Ogletree (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","E.J. Jenkins (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Thomas Greaney (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"160","Travis Vokolek (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Julian Hill (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","Johnny Lumpkin (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Ryan Miller (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Tanner Taula (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Nate Adkins (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","John Samuel Shenker (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Princeton Fant (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Brady Russell (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Ryan Jones (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Thomas Odukoya (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","Dalton Kincaid (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56.2%"
"172","Luke Schoonmaker (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"173","Luke Musgrave (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.4%"
"174","Tucker Kraft (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"175","Brenton Strange (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"176","Payne Durham (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Zack Kuntz (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"178","Ben Sims (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Christian Trahan (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"180","Griffin Hebert (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Camren McDonald (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","Henry Pearson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","Blake Whiteheart (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","Joel Honigford (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","Christian Sims (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Michael Ezeike (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"187","Joel Wilson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Brayden Willis (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"189","Will Mallory (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"190","Dominique Dafney (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Hunter Thedford (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Hunter Long (LAR)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.1%"
"193","Kenny Yeboah (NYJ)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"194","Miller Forristall (NO)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"195","Matt Bushman (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Austin Allen (GB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"197","Ben Mason (BAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"198","Hunter Kampmoyer (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"199","Zach Davidson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"200","Bernhard Seikovits (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"201","Nick Guggemos (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"202","Josh Pederson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"203","Davis Allen (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"204","Josh Whyle (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"205","Darnell Washington (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"206","Sam LaPorta (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34.7%"
"207","Sammis Reyes (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"208","Michael Mayer (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.4%"
"209","Elijah Higgins (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"210","Dominique Curry (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","James Dearth (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"212","Drake Dunsmore (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Darnell Dinkins (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Derek Fine (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","J.P. Foschi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Brad Cottam (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","Marquez Branson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Joey Haynos (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Justin Snow (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Keith Zinger (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"222","J.P. Holtz (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"223","Troy Fumagalli (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Jordan Thomas (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","David Wells (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Kevin Rader (TEN)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"227","Beau Brinkley (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.2%"
"228","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"229","Patrick Scales (CHI)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"230","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"231","Jesse James (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Nick Boyle (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"233","Drew Sample (CIN)","2","2","-2","-1.0","2","0","0","0","0","0","0","2","-0.2","-0.1","0.1%"
""
""